Verse,Title,Type,URL,Publish_Date,Schema,Meta_Title,Meta_Desc,Interlink strategy
Finverse,"Solo Founder Taxes",Guide,/finverse/solo-founder-taxes.html,2025-03-23,FAQ,"Solo Founder Tax Checklist","Quarterly compliance reminders.","Link to cash-flow ladder + skillverse resume."
Finverse,"Side Hustle Budget",Checklist,/finverse/side-hustle-budget.html,2025-03-24,Article,"Side Hustle Budget Template","Expenses vs reinvestment blueprint.","Link to side-hustle sprint + pricing ladder."
Finverse,"Recurring Revenue Tracker",Template,/finverse/recurring-revenue-tracker.html,2025-03-25,Article,"Recurring Revenue Tracker","Track MRR + forecasts for creators.","Link to skillverse mentor + cash-flow ladder."
Finverse,"Crypto Treasury Policy",Guide,/finverse/crypto-treasury-policy.html,2025-03-26,FAQ,"Crypto Treasury Policy","Principles for holding/staking stablecoins.","Link to money os + research sprint."
Finverse,"RRR Investment System",System,/finverse/rrr-investment-system.html,2025-03-27,Article,"RRR Investment System","Blend risk, reward, recurring contributions.","Link to SIP vs RD vs FD + emergency ladder."
Finverse,"Pros vs Cons of Credit Cards",FAQ,/finverse/credit-card-pros-cons.html,2025-03-28,FAQ,"Credit Card Pros and Cons","Pick cards for perks with guardrails.","Link to family money meeting + budgeting."
Finverse,"Weekend Money Reset",HowTo,/finverse/weekend-money-reset.html,2025-03-29,HowTo,"Weekend Money Reset","2-hour ritual for pay cycles.","Link to focus timer + budgeting map."
Finverse,"Financial Vision Board",Guide,/finverse/financial-vision-board.html,2025-03-30,Article,"Financial Vision Board","Translate lifestyle goals into numbers.","Link to skillverse resume + healthverse resets."
Healthverse,"Deep Work Warmup",Routine,/healthverse/deep-work-warmup.html,2025-03-31,HowTo,"Deep Work Warmup Routine","Movement stack before intense sprints.","Link to desk detox + focus timer."
Healthverse,"Anti-Anxiety Toolkit",Guide,/healthverse/anti-anxiety-toolkit.html,2025-04-01,FAQ,"Anti-Anxiety Toolkit","Breath, journaling, supplement stack.","Link to sleep reset + mentor OS."
Healthverse,"Creator Meal Prep",HowTo,/healthverse/creator-meal-prep.html,2025-04-02,HowTo,"Meal Prep for Creators","Batch cook in 90 minutes weekly.","Link to metabolic mornings + budgeting."
Healthverse,"Desk Mobility Flow",Checklist,/healthverse/desk-mobility-flow.html,2025-04-03,Article,"Desk Mobility Flow","Hourly resets for posture + eyes.","Link to desk detox + focus timer."
Healthverse,"90-Min Sleep Sprint",Protocol,/healthverse/90-min-sleep-sprint.html,2025-04-04,HowTo,"90-Minute Sleep Sprint","Emergency recovery after all-nighters.","Link to sleep reset + metabolic mornings."
Healthverse,"Hydration Habit Grid",Guide,/healthverse/hydration-habit-grid.html,2025-04-05,FAQ,"Hydration Habit Grid","Electrolyte + reminder system.","Link to metabolic mornings + deep work warmup."
Healthverse,"Founder Fitness Stack",Best Of,/healthverse/founder-fitness-stack.html,2025-04-06,Article,"Founder Fitness Stack","Apps + gear for staying active while shipping.","Link to longevity sprint + skillverse mentor."
Healthverse,"Blue Light Detox",HowTo,/healthverse/blue-light-detox.html,2025-04-07,HowTo,"Blue Light Detox","Protocols to cut screen fatigue.","Link to desk detox + techverse chrome tips."
Healthverse,"Mindful Break Library",Guide,/healthverse/mindful-break-library.html,2025-04-08,FAQ,"Mindful Break Library","Curated micro-meditations for busy founders.","Link to focus timer + metabolic mornings."
Healthverse,"Weekend Nature Reset",HowTo,/healthverse/weekend-nature-reset.html,2025-04-09,HowTo,"Weekend Nature Reset","Plan mini-retreats for nervous system recovery.","Link to longevity sprint + financial vision board."
Healthverse,"Caffeine Taper Plan",Guide,/healthverse/caffeine-taper-plan.html,2025-04-10,FAQ,"Caffeine Taper Plan","Reduce caffeine without withdrawal.","Link to metabolic mornings + sleep reset."
Healthverse,"Focus Breathing Protocols",Guide,/healthverse/focus-breathing-protocols.html,2025-04-11,HowTo,"Focus Breathing Protocols","Breathwork that powers deep work.","Link to deep work warmup + focus timer."
Healthverse,"Laptop Ergonomics Kit",Best Of,/healthverse/laptop-ergonomics-kit.html,2025-04-12,Article,"Laptop Ergonomics Kit","Gear list for remote teams.","Link to desk detox + skillverse resume."
Healthverse,"Sleep Data Decoder",Guide,/healthverse/sleep-data-decoder.html,2025-04-13,FAQ,"Sleep Data Decoder","Interpret Oura/Whoop metrics properly.","Link to sleep reset + metabolic mornings."
Healthverse,"Digital Sunset Routine",HowTo,/healthverse/digital-sunset-routine.html,2025-04-14,HowTo,"Digital Sunset Routine","Wind-down ritual for makers.","Link to focus timer + weekend money reset."
Skillverse,"Portfolio Homepage Wireframe",HowTo,/skillverse/portfolio-homepage-wireframe.html,2025-04-15,HowTo,"Portfolio Homepage Wireframe","Structure hero, proof, CTAs.","Link to one-page resume + creator studio stack."
Skillverse,"Interview Story Bank",Guide,/skillverse/interview-story-bank.html,2025-04-16,FAQ,"Interview Story Bank System","Capture STAR/CAR stories quickly.","Link to mentor OS + resume."
Skillverse,"Weekly Career Retro",Checklist,/skillverse/weekly-career-retro.html,2025-04-17,Article,"Weekly Career Retro","Reflect and set next experiments.","Link to microlearning + mentor OS."
Skillverse,"AI-Ready Resume Prompts",Guide,/skillverse/ai-ready-resume-prompts.html,2025-04-18,FAQ,"AI Ready Resume Prompts","Prompt bank for tailoring resumes.","Link to resume + prompt ops playbook."
Skillverse,"LinkedIn Pulse Plan",HowTo,/skillverse/linkedin-pulse-plan.html,2025-04-19,HowTo,"LinkedIn Pulse Plan","Ship weekly posts with repurposing.","Link to content remix + mentor OS."
Skillverse,"Community OS Template",Template,/skillverse/community-os-template.html,2025-04-20,Article,"Community OS Template","Task + ritual template for communities.","Link to mentor OS + microlearning."
Skillverse,"Client Onboarding Ritual",HowTo,/skillverse/client-onboarding-ritual.html,2025-04-21,HowTo,"Client Onboarding Ritual","Scripts and docs for new retainers.","Link to pricing ladder + mentor OS."
Skillverse,"Case Study Blueprint",Guide,/skillverse/case-study-blueprint.html,2025-04-22,FAQ,"Case Study Blueprint","Structure wins into mini-landing pages.","Link to resume + portfolio wireframe."
Skillverse,"Public Build Tracker",Template,/skillverse/public-build-tracker.html,2025-04-23,Article,"Public Build Tracker","Document progress for audiences.","Link to linkedin pulse + content remix."
Skillverse,"Offer Negotiation Scripts",Guide,/skillverse/offer-negotiation-scripts.html,2025-04-24,FAQ,"Offer Negotiation Scripts","Messaging for comp + perks.","Link to resume + mentor OS."
Skillverse,"Creator Income Dashboard",Template,/skillverse/creator-income-dashboard.html,2025-04-25,Article,"Creator Income Dashboard","Track brand deals, aff links, products.","Link to cash-flow ladder + pricing ladder."
Skillverse,"Skill Stacking Map",Guide,/skillverse/skill-stacking-map.html,2025-04-26,FAQ,"Skill Stacking Map","Plan complementary skills to learn.","Link to microlearning + mentor OS."
Skillverse,"Mentor Outreach Scripts",Guide,/skillverse/mentor-outreach-scripts.html,2025-04-27,FAQ,"Mentor Outreach Scripts","Cold DM/email templates that convert.","Link to mentor OS + side-hustle sprint."
Skillverse,"Micro-Workshop Framework",HowTo,/skillverse/micro-workshop-framework.html,2025-04-28,HowTo,"Micro Workshop Framework","Deliver 45-min workshops live.","Link to linkedin pulse + mentor OS."
Skillverse,"Creator Collaboration Brief",Template,/skillverse/creator-collaboration-brief.html,2025-04-29,Article,"Creator Collaboration Brief","Checklist for collabs and brand deals.","Link to offer negotiation + pricing ladder."
